ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1526;1698;D/S CHHATBIR. PUNJAB;PUNJAB;20;0.19;5;0.44;748;0.011;2.65;0.024289263;413.4014412;0
1527;1699;U/S DHAKANSU NALLAH. PUNJAB;PUNJAB;20;0.19;5.1;0.45;760;0.011;2.55;0.023369215;682.2732609;0
1528;1700;D/S DHAKANSU NALLAH. PUNJAB;PUNJAB;21;0.25;4.5;0.39;856;0.013;3.45;0.031649646;1065.854903;0
1529;1701;D/S JHARMAL NADI. PUNJAB;PUNJAB;21;0.25;4.4;0.39;1184;0.018;3.75;0.034409789;610.0595496;0
1530;1702;U/S JHARMAL NADI. PUNJAB;PUNJAB;20;0.19;4.5;0.39;1186;0.018;3.07;0.028153464;561.6040159;0
1531;1703;GHAGGER AT MOONAK. PUNJAB;PUNJAB;21;0.25;5.2;0.46;1036;0.016;3.55;0.032569694;976.2752272;0
1532;1704;D/S SARDULGARH. PUNJAB;PUNJAB;21;0.25;5.5;0.49;973;0.015;3.33;0.030545588;3271.258653;0
1533;1705;U/S SARDULGARH. PUNJAB;PUNJAB;21;0.25;5.6;0.5;951;0.014;3.23;0.029625541;936.6577928;0
1534;1885;RIVER GHAGGAR AT D/S OF SURAJPUR;HARYANA;25;0.47;6.4;0.57;378;0.006;0.94;0.008556445;96.80386377;0
1535;1887;GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA);HARYANA;31;0.81;6.8;0.61;970;0.015;20.2;0.185757659;269.1539159;0
1543;1925;KHUGA RIVER (CHURACHANDPUR DIST.);MANIPUR;28;0.64;6.7;0.6;698;0.01;0.52;0.004692244;77.6157009;0
1545;1625;HUMP BRIDGE. MANIPUR;MANIPUR;27;0.58;3.2;0.28;389;0.006;0.52;0.004692244;286.9549064;0
1546;1626;HEIRANGOITHONG. MANIPUR;MANIPUR;28;0.64;5.5;0.49;375;0.006;0.52;0.004692244;270.2798264;0
1553;1404;GUMTI AT D/S SOUTH TRIPURA. TRIPURA;TRIPURA;29;0.69;5.4;0.48;141;0.002;0.08;0.000644033;79.55330667;0
1554;1726;CHANDRAPUR. AGARTALA D/S OF HAORA RIVER. TRIPURA;TRIPURA;28;0.64;5.8;0.51;161;0.002;0.1;0.000828043;93.78352551;0
1557;1246;DAMANGANGA AT KACHIGAON D\S (DAMAN).GUJARAT;GUJARAT;25;0.47;4.8;0.42;20360;0.31;0.2;0.001748091;138.7477884;0
1558;1860;BALEHWAR KHADI AT N.H. NO. 8;GUJARAT;27;0.58;4.9;0.43;904;0.014;0.52;0.004692244;406.4403681;0
1559;1861;RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY;GUJARAT;28;0.64;6.4;0.57;477;0.007;0.52;0.004692244;355.6197238;0
1560;1862;RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD;GUJARAT;29;0.69;6.7;0.6;14111;0.215;0.52;0.004692244;324.1044429;0
1561;1865;RIVER DHADHAR AT KOTHWADA;GUJARAT;28;0.64;5.7;0.5;868;0.013;0.4;0.003588187;90.76887246;0
1562;1148;AMBIKA AT BILIMORA. GUJARAT;GUJARAT;30;0.75;6.2;0.55;899;0.014;0.52;0.004692244;316.1746377;0
1563;1149;KOLAK AT PATALIA BDG.. GUJARAT;GUJARAT;26;0.53;4.8;0.42;14426;0.219;0.1;0.000828043;153.5477351;0
1564;1435;KOLAK AT RAILWAY BRIDGE NO. 313 VAPI.VALSAD. GUJARAT;GUJARAT;27;0.58;6.2;0.55;29920;0.455;0.2;0.001748091;86.14519101;0
1565;1434;AMLAKHADI AT ANKLESHWAR;GUJARAT;27;0.58;6.7;0.6;5414;0.082;0.1;0.000828043;3225.825263;0
1566;1438;MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN. GUJARAT;GUJARAT;27;0.58;4.2;0.37;589;0.009;0.52;0.004692244;631.5779768;0
1567;1399;ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS. GOA;GOA;30;0.75;6.8;0.61;2870;0.044;0.1;0.000828043;82.08439594;0
1569;1476;MANDOVI AT TONCA. MARCELA. GOA;GOA;29;0.69;6.5;0.58;3110;0.047;0.1;0.000828043;83.48499681;0
